epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,310.793,1.1372,1.68138,0.64743,0.89586,0.90883,0.89805,0.91632,0.47055,0.88365,0.87045,0.86526,0.41066,1.26303,2.06591,0.68572,0.94166,0.00186536,0.00186536,0.00186536
70,314.803,1.11118,1.63906,0.65062,0.89778,0.90057,0.89575,0.91526,0.504,0.87637,0.86393,0.87184,0.42931,1.26032,2.09647,0.67391,0.93984,0.00186338,0.00186338,0.00186338
71,319.028,1.13319,1.76692,0.68271,0.90658,0.90679,0.8946,0.92455,0.5281,0.8792,0.86738,0.88586,0.45915,1.20544,2.01587,0.6525,0.93265,0.0018614,0.0018614,0.0018614
72,323.332,1.09516,1.66822,0.65733,0.89474,0.91602,0.89268,0.91804,0.49346,0.90297,0.87351,0.88837,0.46066,1.23182,2.11188,0.65657,0.93758,0.00185942,0.00185942,0.00185942
73,327.393,1.12976,1.72043,0.66664,0.90874,0.92632,0.88118,0.90971,0.45905,0.89902,0.85994,0.86832,0.40862,1.23208,2.11672,0.67783,0.93477,0.00185744,0.00185744,0.00185744
74,331.728,1.14333,1.69807,0.65678,0.91115,0.92277,0.88655,0.90383,0.44779,0.89371,0.86046,0.85978,0.38318,1.22292,2.22755,0.67259,0.93546,0.00185546,0.00185546,0.00185546
75,336.188,1.15493,1.75386,0.66703,0.91172,0.92214,0.8923,0.91784,0.48295,0.90178,0.88693,0.89663,0.44115,1.22624,2.00888,0.64798,0.93829,0.00185348,0.00185348,0.00185348
76,340.48,1.15475,1.77079,0.64168,0.90622,0.91836,0.89115,0.91696,0.49867,0.90848,0.87505,0.89754,0.46332,1.23907,2.01624,0.64138,0.94218,0.0018515,0.0018515,0.0018515
77,345.103,1.18109,1.78807,0.66636,0.9222,0.91613,0.88233,0.91453,0.49556,0.89159,0.85435,0.87786,0.41487,1.27137,2.17299,0.66809,0.94997,0.00184952,0.00184952,0.00184952
78,350.147,1.18173,1.70734,0.65276,0.90539,0.90818,0.88329,0.91565,0.49478,0.88201,0.84237,0.86738,0.40317,1.27129,2.11416,0.66733,0.95052,0.00184754,0.00184754,0.00184754
79,354.378,1.14667,1.72161,0.64537,0.90906,0.90771,0.89268,0.91392,0.49482,0.88108,0.86317,0.87994,0.44165,1.25401,2.30748,0.66231,0.94751,0.00184556,0.00184556,0.00184556
80,359.014,1.19884,1.77565,0.65389,0.9003,0.8995,0.87735,0.89911,0.4696,0.88329,0.86048,0.87449,0.41548,1.26439,2.38659,0.66986,0.94947,0.00184358,0.00184358,0.00184358
81,363.501,1.14778,1.73303,0.64692,0.90736,0.91384,0.89766,0.91098,0.46548,0.88874,0.8555,0.86075,0.37725,1.27854,2.22854,0.67495,0.94237,0.0018416,0.0018416,0.0018416
82,367.837,1.10347,1.63174,0.61315,0.89903,0.91391,0.89536,0.90192,0.45511,0.89781,0.87735,0.87737,0.39869,1.28719,2.29765,0.67218,0.94584,0.00183962,0.00183962,0.00183962
83,372.338,1.1126,1.6754,0.61372,0.89432,0.92243,0.90698,0.92084,0.48674,0.90352,0.88118,0.88341,0.44621,1.22455,2.14681,0.64196,0.93333,0.00183764,0.00183764,0.00183764
84,377.432,1.12223,1.7157,0.61929,0.90459,0.91571,0.90363,0.92428,0.49529,0.89853,0.87229,0.889,0.41745,1.29172,2.14411,0.65143,0.94116,0.00183566,0.00183566,0.00183566
85,381.977,1.20138,1.76905,0.63798,0.90632,0.90723,0.88961,0.90965,0.49426,0.89112,0.87208,0.88624,0.4294,1.27531,2.24211,0.65514,0.94034,0.00183368,0.00183368,0.00183368
86,386.211,1.08842,1.61952,0.61334,0.89288,0.91344,0.89536,0.91849,0.49589,0.8961,0.87605,0.8887,0.44756,1.21509,2.13939,0.63867,0.93321,0.0018317,0.0018317,0.0018317
87,391.123,1.11277,1.69413,0.62175,0.90548,0.91611,0.89572,0.91675,0.50222,0.90433,0.87926,0.89199,0.44665,1.21774,2.15621,0.63693,0.93107,0.00182972,0.00182972,0.00182972
88,395.371,1.07863,1.64217,0.61397,0.89964,0.92926,0.89616,0.92418,0.51802,0.91083,0.87658,0.8905,0.4533,1.20214,2.09105,0.64695,0.92657,0.00182774,0.00182774,0.00182774
89,399.772,1.05441,1.63875,0.59849,0.89416,0.91648,0.90421,0.91238,0.47778,0.90079,0.8762,0.88352,0.42384,1.24508,2.17589,0.63804,0.93703,0.00182576,0.00182576,0.00182576
90,404.079,1.06922,1.57951,0.61742,0.89415,0.91163,0.89076,0.896,0.45015,0.90225,0.8647,0.86622,0.3875,1.29165,2.33587,0.66658,0.94573,0.00182378,0.00182378,0.00182378
91,408.561,1.07676,1.61602,0.61306,0.88938,0.92405,0.90303,0.9191,0.50449,0.90438,0.88041,0.88672,0.44653,1.21071,2.10381,0.62649,0.93305,0.0018218,0.0018218,0.0018218
92,412.726,1.07308,1.5929,0.61768,0.89612,0.9214,0.90379,0.917,0.51607,0.90901,0.88655,0.89498,0.4557,1.2058,2.10209,0.62267,0.93478,0.00181982,0.00181982,0.00181982
93,416.881,1.13231,1.75543,0.62752,0.91297,0.91689,0.89498,0.91626,0.4945,0.89764,0.8762,0.88346,0.43613,1.22744,2.09483,0.64086,0.9373,0.00181784,0.00181784,0.00181784
