epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,191.273,1.1657,0.64322,0.91716,0.91659,0.89296,0.91519,0.50863,1.22857,0.62037,0.9493,0.0018614,0.0018614,0.0018614
72,193.934,1.12543,0.62037,0.90512,0.91407,0.89291,0.91552,0.49737,1.24054,0.61935,0.95293,0.00185942,0.00185942,0.00185942
73,196.447,1.15065,0.63727,0.91777,0.92133,0.90686,0.92242,0.5146,1.24051,0.6271,0.93841,0.00185744,0.00185744,0.00185744
74,198.965,1.14569,0.63763,0.91646,0.92483,0.89728,0.92132,0.50014,1.21909,0.62025,0.9405,0.00185546,0.00185546,0.00185546
75,201.536,1.15205,0.62834,0.91875,0.91967,0.89962,0.92308,0.53301,1.23266,0.60394,0.94417,0.00185348,0.00185348,0.00185348
76,204.058,1.11554,0.60183,0.90412,0.90216,0.89191,0.90636,0.4859,1.34039,0.63678,0.96222,0.0018515,0.0018515,0.0018515
77,206.714,1.1521,0.62917,0.92168,0.91728,0.89345,0.90439,0.44477,1.23704,0.6332,0.94722,0.00184952,0.00184952,0.00184952
78,209.31,1.14329,0.61204,0.90021,0.92105,0.9077,0.91738,0.50822,1.19228,0.61486,0.93842,0.00184754,0.00184754,0.00184754
79,212.105,1.12228,0.60738,0.90711,0.88714,0.86202,0.87421,0.45758,1.29791,0.64849,0.95757,0.00184556,0.00184556,0.00184556
80,214.87,1.17547,0.63294,0.89904,0.91394,0.89148,0.90816,0.46865,1.2719,0.64243,0.95034,0.00184358,0.00184358,0.00184358
81,217.55,1.18611,0.64408,0.91598,0.91978,0.8969,0.91106,0.46598,1.25318,0.62611,0.94567,0.0018416,0.0018416,0.0018416
82,220.097,1.0966,0.59524,0.90521,0.92517,0.89843,0.92005,0.51045,1.22592,0.61127,0.93922,0.00183962,0.00183962,0.00183962
83,222.683,1.133,0.60095,0.90316,0.91001,0.88376,0.9089,0.48488,1.29103,0.62414,0.96288,0.00183764,0.00183764,0.00183764
84,225.175,1.13464,0.60955,0.91068,0.91057,0.89651,0.9164,0.49037,1.30044,0.62899,0.95978,0.00183566,0.00183566,0.00183566
85,227.67,1.21312,0.61869,0.91692,0.91783,0.89191,0.91491,0.48054,1.28239,0.63682,0.95518,0.00183368,0.00183368,0.00183368
86,230.163,1.14472,0.60345,0.90682,0.90717,0.88041,0.89565,0.47323,1.24806,0.62357,0.95077,0.0018317,0.0018317,0.0018317
87,232.834,1.19559,0.62667,0.92266,0.90425,0.87601,0.89874,0.47302,1.3031,0.63708,0.96094,0.00182972,0.00182972,0.00182972
88,235.262,1.14081,0.62053,0.91041,0.91321,0.89534,0.9136,0.48864,1.29541,0.62717,0.95506,0.00182774,0.00182774,0.00182774
89,237.745,1.12172,0.60778,0.9085,0.90681,0.88022,0.89472,0.44447,1.32038,0.65374,0.97056,0.00182576,0.00182576,0.00182576
90,240.25,1.08302,0.59416,0.90354,0.90508,0.88348,0.8915,0.43854,1.24959,0.63913,0.95566,0.00182378,0.00182378,0.00182378
91,242.764,1.09979,0.58501,0.89688,0.90614,0.88425,0.90261,0.46925,1.29559,0.6321,0.95699,0.0018218,0.0018218,0.0018218
92,245.247,1.07498,0.59872,0.90365,0.92125,0.89651,0.92217,0.50986,1.22744,0.60644,0.94534,0.00181982,0.00181982,0.00181982
93,247.986,1.13949,0.59636,0.92068,0.924,0.8994,0.91429,0.45893,1.2552,0.61823,0.94639,0.00181784,0.00181784,0.00181784
94,250.58,1.13246,0.6014,0.90354,0.91338,0.89326,0.91197,0.44391,1.28025,0.62912,0.94931,0.00181586,0.00181586,0.00181586
95,253.186,1.08852,0.59364,0.90029,0.9234,0.90418,0.9251,0.50315,1.25142,0.6019,0.94889,0.00181388,0.00181388,0.00181388
96,255.624,1.15635,0.59814,0.93339,0.92107,0.89909,0.92903,0.52797,1.17767,0.58944,0.93549,0.0018119,0.0018119,0.0018119
97,258.1,1.20355,0.61806,0.92176,0.91673,0.89996,0.92778,0.48653,1.3109,0.6201,0.95369,0.00180992,0.00180992,0.00180992
98,260.619,1.18482,0.6187,0.91749,0.89786,0.87735,0.89155,0.42968,1.34708,0.65535,0.96529,0.00180794,0.00180794,0.00180794
99,263.375,1.15153,0.61651,0.91518,0.91289,0.8837,0.90779,0.44216,1.25343,0.63547,0.95479,0.00180596,0.00180596,0.00180596
100,266.01,1.19605,0.6176,0.92926,0.91358,0.89543,0.91695,0.46478,1.24157,0.62067,0.94824,0.00180398,0.00180398,0.00180398
101,268.48,1.13748,0.59621,0.91603,0.92479,0.89544,0.92421,0.49713,1.25511,0.6213,0.95021,0.001802,0.001802,0.001802
102,270.93,1.10893,0.59699,0.89711,0.90899,0.88233,0.89913,0.45969,1.26978,0.62576,0.95747,0.00180002,0.00180002,0.00180002
103,273.468,1.08007,0.58183,0.90712,0.91354,0.89907,0.92032,0.49891,1.25257,0.61011,0.9469,0.00179804,0.00179804,0.00179804
104,275.967,1.12761,0.60477,0.90295,0.92085,0.89536,0.92854,0.50994,1.27781,0.61156,0.94636,0.00179606,0.00179606,0.00179606
105,278.428,1.10171,0.58783,0.90847,0.90524,0.87879,0.89928,0.49415,1.21812,0.60195,0.94229,0.00179408,0.00179408,0.00179408
106,281.221,1.09975,0.5845,0.89325,0.91318,0.8877,0.91079,0.4962,1.21644,0.59581,0.94177,0.0017921,0.0017921,0.0017921
107,283.724,1.07412,0.57276,0.90055,0.92434,0.90837,0.93322,0.5257,1.19789,0.59257,0.93747,0.00179012,0.00179012,0.00179012
