epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,611.951,1.2119,1.78587,0.69066,0.9232,0.94468,0.86199,0.91511,0.57081,0.9119,0.81964,0.87199,0.33187,1.3481,1.92415,0.71292,0.87882,0.0018713,0.0018713,0.0018713
67,621.125,1.23445,1.8903,0.7026,0.94058,0.93828,0.85987,0.90712,0.55351,0.90022,0.82127,0.84352,0.30413,1.34376,1.93419,0.70691,0.88112,0.00186932,0.00186932,0.00186932
68,630.264,1.22151,1.77617,0.69447,0.92848,0.92939,0.86355,0.90825,0.55159,0.90053,0.81934,0.86148,0.33975,1.37715,1.9612,0.7144,0.88218,0.00186734,0.00186734,0.00186734
69,639.487,1.17198,1.73946,0.66117,0.92467,0.93601,0.86047,0.91355,0.60191,0.91476,0.82353,0.8783,0.35837,1.24202,1.83881,0.68923,0.87248,0.00186536,0.00186536,0.00186536
70,648.371,1.24044,1.88996,0.68527,0.9347,0.90921,0.8733,0.91441,0.59405,0.88773,0.82353,0.87368,0.34635,1.27911,1.84874,0.6983,0.87093,0.00186338,0.00186338,0.00186338
71,657.245,1.22731,1.85432,0.67915,0.93526,0.9253,0.86876,0.92309,0.54971,0.9049,0.819,0.87583,0.34024,1.44149,1.97445,0.70924,0.88317,0.0018614,0.0018614,0.0018614
72,666.95,1.15695,1.71998,0.67392,0.92173,0.93735,0.88005,0.9352,0.62898,0.92385,0.85083,0.91335,0.40708,1.14497,1.6894,0.66352,0.86534,0.00185942,0.00185942,0.00185942
73,676.047,1.22523,1.87275,0.69175,0.94543,0.94711,0.86652,0.92757,0.61302,0.92096,0.82353,0.8906,0.37928,1.24843,1.7778,0.69282,0.87045,0.00185744,0.00185744,0.00185744
74,685.055,1.21567,1.8052,0.67801,0.92476,0.95457,0.84163,0.90786,0.5508,0.92939,0.80404,0.85841,0.31951,1.48176,2.05762,0.72024,0.89272,0.00185546,0.00185546,0.00185546
75,694.026,1.22023,1.83802,0.69133,0.93589,0.9449,0.8552,0.92099,0.60614,0.9404,0.8211,0.90063,0.36742,1.27762,1.90873,0.68093,0.87529,0.00185348,0.00185348,0.00185348
76,703.256,1.19174,1.75826,0.66366,0.92394,0.94316,0.86425,0.92884,0.61857,0.92589,0.84801,0.9141,0.4078,1.16808,1.80255,0.67451,0.86778,0.0018515,0.0018515,0.0018515
77,711.845,1.24012,1.88304,0.91853,0.94634,0.93344,0.85671,0.92809,0.55891,0.9214,0.83032,0.89205,0.36265,1.38743,1.93051,0.7089,0.88018,0.00184952,0.00184952,0.00184952
78,720.339,1.17932,1.74729,0.66309,0.91526,0.94675,0.8448,0.91506,0.54022,0.91119,0.80995,0.86081,0.33168,1.46982,2.04378,0.71684,0.88573,0.00184754,0.00184754,0.00184754
79,729.117,1.19755,1.79384,0.66417,0.91924,0.91431,0.869,0.91911,0.58209,0.8954,0.80317,0.87055,0.34871,1.30122,1.97715,0.70081,0.87484,0.00184556,0.00184556,0.00184556
80,738.206,1.2327,1.8111,0.6746,0.93605,0.94703,0.84944,0.93165,0.61548,0.90618,0.81222,0.88297,0.3635,1.20559,1.89656,0.6893,0.86764,0.00184358,0.00184358,0.00184358
81,747.226,1.27507,1.86418,0.70254,0.93943,0.94089,0.86425,0.91404,0.52844,0.91094,0.83937,0.87758,0.35522,1.50444,1.98412,0.71515,0.88341,0.0018416,0.0018416,0.0018416
82,755.848,1.23973,1.80394,0.66722,0.93618,0.93891,0.86199,0.92332,0.5936,0.89578,0.81448,0.86514,0.34895,1.26526,1.95503,0.67345,0.87082,0.00183962,0.00183962,0.00183962
83,764.554,1.23974,1.79968,0.6794,0.93164,0.95895,0.85747,0.93326,0.62853,0.91383,0.81574,0.88249,0.36801,1.18046,1.80773,0.67328,0.86538,0.00183764,0.00183764,0.00183764
84,773.626,1.23288,1.76387,0.67006,0.93305,0.9573,0.85747,0.92407,0.59166,0.93248,0.82127,0.89178,0.36403,1.28211,1.8169,0.6984,0.87242,0.00183566,0.00183566,0.00183566
85,782.413,1.18229,1.74868,0.66348,0.92981,0.94201,0.8733,0.92367,0.61539,0.93031,0.84562,0.89985,0.41738,1.21952,1.72965,0.68781,0.86665,0.00183368,0.00183368,0.00183368
86,791.218,1.19492,1.73497,0.65901,0.91946,0.9415,0.87382,0.92845,0.6048,0.91747,0.83002,0.88235,0.36067,1.27415,1.7961,0.68833,0.87083,0.0018317,0.0018317,0.0018317
87,799.786,1.19834,1.803,0.65639,0.93406,0.93548,0.85293,0.91777,0.53139,0.91225,0.79186,0.85519,0.29608,1.54732,2.1335,0.74433,0.89345,0.00182972,0.00182972,0.00182972
