epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,238.589,1.17548,0.61226,0.90716,0.8849,0.862,0.91196,0.58984,1.21258,0.67042,0.94524,0.00182378,0.00182378,0.00182378
91,241.417,1.15236,0.62056,0.90243,0.90849,0.8987,0.93698,0.61595,1.1831,0.62856,0.93393,0.0018218,0.0018218,0.0018218
92,243.942,1.22564,0.63506,0.922,0.92544,0.91602,0.94148,0.6211,1.17802,0.6,0.94365,0.00181982,0.00181982,0.00181982
93,246.261,1.12075,0.60549,0.90403,0.9198,0.91354,0.94011,0.62619,1.15587,0.59115,0.93355,0.00181784,0.00181784,0.00181784
94,248.761,1.2112,0.63459,0.92082,0.92482,0.92121,0.93946,0.66109,1.02972,0.57571,0.90713,0.00181586,0.00181586,0.00181586
95,251.188,1.15808,0.60898,0.90412,0.92749,0.91914,0.936,0.61014,1.17356,0.59784,0.9432,0.00181388,0.00181388,0.00181388
96,253.6,1.16819,0.62283,0.92156,0.92937,0.92285,0.93844,0.66033,1.0292,0.57055,0.91481,0.0018119,0.0018119,0.0018119
97,256.232,1.21988,0.64743,0.92087,0.93373,0.93325,0.94149,0.66285,1.02315,0.55984,0.9083,0.00180992,0.00180992,0.00180992
98,258.613,1.12182,0.59303,0.89775,0.92674,0.91515,0.93524,0.65437,1.0449,0.57452,0.92203,0.00180794,0.00180794,0.00180794
99,260.983,1.13589,0.5982,0.90614,0.91609,0.90779,0.93264,0.65648,1.04281,0.5724,0.92273,0.00180596,0.00180596,0.00180596
100,263.403,1.15214,0.59241,0.89928,0.92705,0.91515,0.9379,0.58819,1.34495,0.64038,0.9895,0.00180398,0.00180398,0.00180398
101,265.727,1.14599,0.60571,0.9036,0.93081,0.92121,0.93545,0.63561,1.12319,0.5959,0.94068,0.001802,0.001802,0.001802
102,268.193,1.1584,0.60269,0.90803,0.92228,0.91955,0.93839,0.64703,1.08659,0.58469,0.92133,0.00180002,0.00180002,0.00180002
103,270.523,1.07987,0.58856,0.89908,0.92484,0.91645,0.93975,0.63288,1.13815,0.58751,0.93185,0.00179804,0.00179804,0.00179804
104,272.922,1.1539,0.59614,0.90069,0.91807,0.91683,0.93757,0.64395,1.08329,0.57676,0.92767,0.00179606,0.00179606,0.00179606
105,275.463,1.12513,0.59619,0.90057,0.93158,0.91364,0.93934,0.65544,1.05271,0.56299,0.91283,0.00179408,0.00179408,0.00179408
106,278.179,1.06648,0.59022,0.89132,0.92958,0.92006,0.9402,0.6601,1.04291,0.5608,0.91349,0.0017921,0.0017921,0.0017921
107,281.708,1.1268,0.59862,0.90348,0.91264,0.92251,0.93897,0.65812,1.02425,0.56836,0.91481,0.00179012,0.00179012,0.00179012
108,284.283,1.14746,0.60702,0.91064,0.91172,0.91342,0.93483,0.61414,1.18996,0.60017,0.94247,0.00178814,0.00178814,0.00178814
109,286.666,1.09443,0.58043,0.89666,0.90973,0.92035,0.93859,0.64486,1.07172,0.58237,0.91841,0.00178616,0.00178616,0.00178616
110,289.323,1.10896,0.58789,0.89574,0.91268,0.92309,0.9353,0.62155,1.13508,0.60637,0.9301,0.00178418,0.00178418,0.00178418
111,292.108,1.07923,0.58656,0.90389,0.92316,0.93117,0.93844,0.65237,1.06465,0.5724,0.91826,0.0017822,0.0017822,0.0017822
112,294.602,1.10567,0.58883,0.89864,0.88039,0.86667,0.90915,0.621,1.09906,0.60888,0.93028,0.00178022,0.00178022,0.00178022
113,297.585,1.14467,0.58559,0.90456,0.88033,0.87229,0.91397,0.62876,1.0669,0.61338,0.92382,0.00177824,0.00177824,0.00177824
114,300.185,1.11724,0.59117,0.90095,0.91426,0.92787,0.94036,0.66735,1.02266,0.55149,0.91621,0.00177626,0.00177626,0.00177626
115,303.961,1.0932,0.59798,0.89979,0.92674,0.93766,0.94514,0.66611,1.04593,0.55944,0.91821,0.00177428,0.00177428,0.00177428
116,306.632,1.09278,0.57951,0.90158,0.92335,0.92814,0.94175,0.67861,0.9889,0.54729,0.90521,0.0017723,0.0017723,0.0017723
117,309.137,1.08203,0.56839,0.89206,0.91078,0.91342,0.93292,0.65634,1.0244,0.56838,0.91199,0.00177032,0.00177032,0.00177032
118,311.618,1.14562,0.60329,0.91274,0.92237,0.92121,0.93899,0.62113,1.18802,0.59514,0.93735,0.00176834,0.00176834,0.00176834
119,314.164,1.1636,0.60302,0.91957,0.92903,0.91798,0.93933,0.63397,1.12101,0.57457,0.92214,0.00176636,0.00176636,0.00176636
120,316.683,1.10264,0.58932,0.89757,0.93046,0.92092,0.94069,0.63873,1.09481,0.56627,0.92745,0.00176438,0.00176438,0.00176438
121,319.197,1.07681,0.56435,0.88423,0.92729,0.91558,0.94196,0.6519,1.03921,0.55868,0.91307,0.0017624,0.0017624,0.0017624
